"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"SD01";"SD02_01";"SD19";"SD20";"SD21";"SD10";"SD10_09";"SD22";"SD23";"SD24";"SD24_01";"SD24_02";"SD24_03";"SD24_04";"SD24_05";"SD24_06";"SD24_07";"SD25";"SD25_01";"SD25_02";"SD25_03";"SD25_04";"SD25_05";"SD25_06";"SD25_07";"SD26";"SD27";"SD29";"SD30";"SD31";"SD32";"WI07";"WI07_01";"FA01_01";"FA01_02";"FA01_03";"FA01_04";"FA01_05";"FA01_06";"FA01_07";"FA01_08";"FA01_09";"FA01_10";"FA01_11";"FA01_12";"FA01_13";"FA01_14";"FA01_15";"FA01_16";"FA01_17";"FA01_18";"FA01_19";"FA01_20";"FA01_21";"FA01_22";"FA01_23";"FA01_24";"FA01_25";"FA01_26";"FA01_27";"FA01_28";"FA01_29";"FA01_30";"FA01_31";"FA01_32";"FA01_33";"FA01_34";"FA01_35";"FA01_36";"FA01_37";"FA01_38";"FA01_39";"FA01_40";"FA01_41";"FA01_42";"FA01_43";"FA01_44";"FA01_45";"FA01_46";"FA01_47";"FA01_48";"FA01_49";"FA01_50";"FA01_51";"FA01_52";"FA01_53";"FA01_54";"FA01_55";"FA01_56";"FA01_57";"FA01_58";"PA02_01";"PA02_02";"PA02_03";"PA02_04";"PA02_05";"PA02_06";"PA02_07";"PA02_08";"PA02_09";"PA02_10";"PA02_11";"PA02_12";"PA02_13";"PA02_14";"PA02_15";"PA02_16";"PA02_17";"PA02_18";"PA02_19";"PA02_20";"PA03_01";"PA03_02";"PA03_03";"PA03_04";"PA03_05";"PA03_06";"PA03_07";"PA03_08";"PA03_09";"PA03_10";"PA03_11";"PA03_12";"PA03_13";"PA03_14";"PA03_15";"PA03_16";"PA03_17";"PA03_18";"PA03_19";"PA03_20";"EX01";"EX02";"PE02_01";"PE02_02";"PE02_03";"PE02_04";"PE02_05";"PE02_06";"PE02_07";"PE02_08";"PE02_09";"PE02_10";"PE02_11";"PE02_12";"PE02_13";"PE02_14";"PE02_15";"PE02_16";"PE02_17";"PE02_18";"PE02_19";"PE02_20";"PE02_21";"PE02_22";"PE02_23";"PE02_24";"PE02_25";"PE02_26";"PE02_27";"PE02_28";"PE02_29";"PE02_30";"PE02_31";"PE02_32";"PE02_33";"PE02_34";"PE02_35";"PE02_36";"PE02_37";"PE02_38";"PE02_39";"PE02_40";"PE02_41";"PE02_42";"PE02_43";"PE02_44";"PE02_45";"PE02_46";"PE02_47";"HA02_01";"HA02_02";"HA02_03";"HA02_04";"HA02_05";"HA02_06";"HA02_07";"HA02_08";"HA02_09";"HA02_10";"HA02_11";"HA02_12";"HA02_13";"HA02_14";"HA02_15";"HA02_16";"HA02_17";"HA02_18";"HA04_01";"HA04_02";"HA04_03";"HA04_04";"HA04_05";"HA04_06";"HA04_07";"HA04_08";"HA04_09";"HA04_10";"HA04_11";"HA04_12";"HA04_13";"HA04_14";"HA04_15";"HA04_16";"HA04_17";"HA04_18";"HA06_01";"HA06_02";"HA06_03";"HA06_04";"HA06_05";"HA06_06";"HA06_07";"HA06_08";"HA06_09";"HA06_10";"HA06_11";"HA06_12";"HA06_13";"HA06_14";"HA06_15";"HA06_16";"HA06_17";"HA06_18";"HA08_01";"HA08_02";"HA08_03";"HA08_04";"HA08_05";"HA08_06";"HA08_07";"HA08_08";"HA08_09";"HA08_10";"HA08_11";"HA08_12";"HA08_13";"HA08_14";"HA08_15";"HA08_16";"HA08_17";"HA08_18";"HA19_01";"HA19_02";"HA19_03";"HA19_04";"HA19_05";"HA19_06";"HA19_07";"HA19_08";"HA19_09";"HA19_10";"HA19_11";"HA19_12";"HA19_13";"HA19_14";"HA19_15";"HA19_16";"HA19_17";"HA19_18";"HA45_01";"HA45_02";"HA45_03";"HA45_04";"HA45_05";"HA45_06";"HA45_07";"HA45_08";"HA45_09";"HA45_10";"HA45_11";"HA45_12";"HA45_13";"HA45_14";"HA45_15";"HA45_16";"HA45_17";"HA45_18";"HA46_01";"HA46_02";"HA46_03";"HA46_04";"HA46_05";"HA46_06";"HA46_07";"HA46_08";"HA46_09";"HA46_10";"HA46_11";"HA46_12";"HA46_13";"HA46_14";"HA46_15";"HA46_16";"HA46_17";"HA46_18";"HA47_01";"HA47_02";"HA47_03";"HA47_04";"HA47_05";"HA47_06";"HA47_07";"HA47_08";"HA47_09";"HA47_10";"HA47_11";"HA47_12";"HA47_13";"HA47_14";"HA47_15";"HA47_16";"HA47_17";"HA47_18";"HA48_01";"HA48_02";"HA48_03";"HA48_04";"HA48_05";"HA48_06";"HA48_07";"HA48_08";"HA48_09";"HA48_10";"HA48_11";"HA48_12";"HA48_13";"HA48_14";"HA48_15";"HA48_16";"HA48_17";"HA48_18";"HA61_01";"HA61_02";"HA61_03";"HA61_04";"HA61_05";"HA61_06";"HA61_07";"HA61_08";"HA61_09";"HA61_10";"HA61_11";"HA61_12";"HA61_13";"HA61_14";"HA61_15";"HA61_16";"HA61_17";"HA61_18";"HA62_01";"HA62_02";"HA62_03";"HA62_04";"HA62_05";"HA62_06";"HA62_07";"HA62_08";"HA62_09";"HA62_10";"HA62_11";"HA62_12";"HA62_13";"HA62_14";"HA62_15";"HA62_16";"HA62_17";"HA62_18";"HA63_01";"HA63_02";"HA63_03";"HA63_04";"HA63_05";"HA63_06";"HA63_07";"HA63_08";"HA63_09";"HA63_10";"HA63_11";"HA63_12";"HA63_13";"HA63_14";"HA63_15";"HA63_16";"HA63_17";"HA63_18";"HA64_01";"HA64_02";"HA64_03";"HA64_04";"HA64_05";"HA64_06";"HA64_07";"HA64_08";"HA64_09";"HA64_10";"HA64_11";"HA64_12";"HA64_13";"HA64_14";"HA64_15";"HA64_16";"HA64_17";"HA64_18";"HA65_01";"HA65_02";"HA65_03";"HA65_04";"HA65_05";"HA65_06";"HA65_07";"HA65_08";"HA65_09";"HA65_10";"HA65_11";"HA65_12";"HA65_13";"HA65_14";"HA65_15";"HA65_16";"HA65_17";"HA65_18";"HA66_01";"HA66_02";"HA66_03";"HA66_04";"HA66_05";"HA66_06";"HA66_07";"HA66_08";"HA66_09";"HA66_10";"HA66_11";"HA66_12";"HA66_13";"HA66_14";"HA66_15";"HA66_16";"HA66_17";"HA66_18";"HA67_01";"HA67_02";"HA67_03";"HA67_04";"HA67_05";"HA67_06";"HA67_07";"HA67_08";"HA67_09";"HA67_10";"HA67_11";"HA67_12";"HA67_13";"HA67_14";"HA67_15";"HA67_16";"HA67_17";"HA67_18";"HA68_01";"HA68_02";"HA68_03";"HA68_04";"HA68_05";"HA68_06";"HA68_07";"HA68_08";"HA68_09";"HA68_10";"HA68_11";"HA68_12";"HA68_13";"HA68_14";"HA68_15";"HA68_16";"HA68_17";"HA68_18";"HA20_01";"HA20_02";"HA20_03";"HA20_04";"HA20_05";"HA20_06";"HA20_07";"HA20_08";"HA20_09";"HA20_10";"HA20_11";"HA20_12";"HA20_13";"HA20_14";"HA20_15";"HA20_16";"HA20_17";"HA20_18";"HA21_01";"HA21_02";"HA21_03";"HA21_04";"HA21_05";"HA21_06";"HA21_07";"HA21_08";"HA21_09";"HA21_10";"HA21_11";"HA21_12";"HA21_13";"HA21_14";"HA21_15";"HA21_16";"HA21_17";"HA21_18";"ZG01_CP";"ZG01";"ZG04";"ZG05";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME008";"TIME009";"TIME010";"TIME011";"TIME012";"TIME013";"TIME014";"TIME015";"TIME016";"TIME017";"TIME018";"TIME019";"TIME020";"TIME021";"TIME022";"TIME023";"TIME024";"TIME025";"TIME026";"TIME027";"TIME028";"TIME029";"TIME030";"TIME031";"TIME032";"TIME033";"TIME034";"TIME035";"TIME036";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
2012;"PTF23V2PEA";;"Altern02";"interview";2019-07-19 10:39:16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;3;1;4;1;1;1;3;4;3;1;2;1;1;2;3;1;3;1;2;1;1;1;3;1;1;1;1;2;1;1;2;1;1;2;2;1;2;1;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1409;1024;984;20;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1126;;2019-07-19 11:37:28;1;0;5;5;0;0;0,52;0
2013;;;"wi01";"interview";2019-07-19 10:40:57;1;27;1;4;1;8;;2;3;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;;2;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;1;"HVNHTY9UVZ";;5;11;11;6;7;4;8;7;5;;;10;;9;8;;10;;11;;;;;;;;;;;;;;;;;;112;;2019-07-19 10:42:49;1;0;19;19;0;0;1,66;52
2014;"HVNHTY9UVZ";;"A2";"interview";2019-07-19 10:44:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;3;5;4;5;4;4;4;4;5;5;4;5;5;4;3;5;3;4;3;3;4;3;4;4;5;5;4;4;4;3;4;5;5;5;4;5;5;3;4;5;4;4;5;4;4;3;5;3;4;5;1;3;5;4;5;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;4;4;4;1;2;5;4;3;4;3;5;2;3;3;4;5;2;2;2;2;3;5;3;2;5;4;4;4;1;3;3;2;4;2;5;5;5;5;5;1;2;5;4;4;4;3;5;1;4;2;3;4;3;5;2;4;4;2;2;5;4;5;4;4;4;2;4;2;3;3;3;3;3;4;3;2;2;3;4;4;4;4;4;4;4;3;3;3;4;4;3;4;4;2;2;4;4;4;4;4;3;3;3;3;3;3;4;4;3;4;3;2;2;4;4;4;4;4;4;3;3;3;3;3;4;4;3;3;3;2;2;4;4;4;4;4;4;3;3;3;3;3;4;4;2;3;3;3;3;2;4;5;4;4;3;3;4;3;3;3;4;4;4;4;4;3;3;3;4;4;4;4;4;3;3;3;3;3;4;4;3;3;3;3;2;3;4;4;4;4;3;3;3;3;3;3;3;3;2;4;3;2;2;4;4;4;4;4;4;4;3;4;3;3;3;3;3;2;4;3;3;5;4;4;4;4;4;4;3;4;4;3;4;4;3;4;4;3;3;3;4;4;4;4;4;3;3;3;3;3;4;3;1;4;2;3;3;3;2;3;3;4;3;3;3;3;3;3;4;4;1;3;3;2;1;4;4;4;4;4;3;4;4;3;3;3;3;3;1;3;3;3;2;3;3;3;4;4;4;3;4;3;3;3;4;4;2;5;4;2;2;4;5;5;4;4;3;4;4;4;2;4;3;3;2;4;2;2;3;3;4;4;4;4;3;4;3;4;3;2;;;;;3;2;1396;69;50;41;54;42;44;43;52;107;356;65;38;55;27;30;43;55;71;46;;;;;;;;;;;;;;;2386;;2019-07-19 11:28:54;1;0;22;22;0;0;1,1;16
2016;"4P81Z21YVG";;"Altern03";"interview";2019-07-19 10:59:27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;1;1;2;1;1;1;2;2;1;3;1;2;3;4;2;4;3;3;1;2;1;3;1;1;1;2;2;2;2;3;2;2;3;3;2;4;1;5;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;1;91747;11;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;774;;2019-07-20 12:29:54;1;0;5;5;0;0;1,43;31
2017;"X5C3685A9Q";;"Altern03";"interview";2019-07-19 11:00:22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;5;1;3;1;1;1;4;3;4;1;4;1;1;4;4;1;4;1;4;1;4;1;1;1;1;1;3;3;3;1;3;1;1;3;3;1;3;1;6;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;1;171;9;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;256;;2019-07-19 11:04:38;1;0;5;5;0;0;2,02;62
2019;"NHV9WD5R35";;"Altern02";"interview";2019-07-19 11:51:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2;1;3;1;1;1;3;4;4;2;2;1;1;3;3;2;3;1;1;1;3;1;3;1;1;1;3;4;2;1;2;1;1;3;3;2;3;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;3;285;7;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;391;;2019-07-19 11:58:21;1;0;5;5;0;0;1,76;42
2022;;;"wi01";"interview";2019-07-19 12:53:15;2;27;1;1;2;8;;2;2;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;;2;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;1;"XSZETSLUS4";;23;35;14257;33;8;3;7;18;5;;;3;;12;6;;16;;19;;;;;;;;;;;;;;;;;;249;;2019-07-19 16:54:00;1;0;19;19;0;0;0,99;8
2023;;;"wi01";"interview";2019-07-19 13:19:18;1;30;1;1;1;6;;2;5;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;;2;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;2;;"A9XPZF2N7X";12;26;82;9;8;4;25;11;6;;;8;;9;6;;26;;26;;;;;;;;;;;;;;;;;;258;;2019-07-19 13:23:36;1;0;19;19;0;0;1,02;8
2025;"A9XPZF2N7X";;"A2";"interview";2019-07-19 13:28:17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;4;3;2;4;4;4;3;4;4;2;4;4;4;3;2;4;2;4;4;4;4;2;3;2;5;4;2;4;3;2;2;4;4;3;4;4;4;3;5;3;4;3;2;3;3;4;3;4;3;4;2;4;2;4;3;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;4;4;5;2;2;4;5;4;5;5;4;3;4;4;4;4;2;2;2;2;3;3;4;1;4;2;2;2;1;2;2;1;4;2;5;5;5;5;5;2;1;5;5;5;5;5;5;3;4;3;4;5;3;3;2;4;3;2;2;4;3;4;4;3;4;3;3;3;2;3;4;4;4;4;4;2;2;4;4;4;4;3;4;4;3;4;4;4;4;4;2;4;4;1;1;4;4;4;4;3;4;4;3;4;4;3;4;4;3;4;3;3;2;4;3;4;4;3;4;4;3;4;4;4;4;4;4;4;4;3;2;4;4;4;4;3;3;3;3;3;3;4;4;4;4;4;3;4;2;4;4;4;4;3;4;4;3;3;3;3;4;4;4;4;4;4;3;4;4;4;4;4;3;3;4;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;2;2;1;5;3;1;1;4;3;4;3;3;4;4;3;4;2;1;4;4;4;4;3;2;2;4;4;4;4;3;4;3;4;3;4;3;4;4;2;5;3;2;1;4;4;4;3;3;4;4;3;4;3;2;4;3;2;4;3;2;1;4;3;4;4;3;4;4;3;4;3;3;4;4;2;4;4;2;2;4;4;4;4;3;4;2;3;3;3;3;4;4;4;4;3;2;2;4;4;4;4;3;4;2;3;4;3;3;2;2;2;4;2;2;2;4;2;4;3;3;4;4;3;4;2;2;4;4;2;4;4;2;2;4;4;4;4;3;4;4;4;4;3;3;;;;;5;13;281;79;45;50;42;41;51;41;34;41;45;38;49;35;32;22;33;68;159;64;;;;;;;;;;;;;;;1268;;2019-07-19 13:49:27;1;0;22;22;0;0;1,09;7
2028;"HVNHTY9UVZ";;"MS_01";"interview";2019-07-19 14:17:01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;3;1;4;1;1;2;2;3;3;4;3;1;1;3;4;4;4;1;4;2;3;3;4;3;1;3;2;2;2;4;3;4;3;4;4;4;4;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;8;1191;8;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1164;;2019-07-19 14:39:26;1;0;5;5;0;0;1,26;16
2029;"D9WVFX9BDR";;"MS_02";"interview";2019-07-19 14:50:16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;2;4;2;2;2;3;3;4;2;3;2;2;3;3;2;3;3;7;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;2;314;8;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;386;;2019-07-19 14:56:42;1;0;5;5;0;0;2,16;58
2037;;;"wi01";"interview";2019-07-19 16:13:09;2;33;2;1;2;7;;2;6;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;;2;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;2;;"XQQCCBF2YW";10;10;3;3;4;3;9;5;6;;;2;;9;2;;16;;11;;;;;;;;;;;;;;;;;;93;;2019-07-19 16:14:42;1;0;19;19;0;0;1,99;92
2038;"XQQCCBF2YW";;"A2";"interview";2019-07-19 16:15:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;3;4;4;3;2;4;5;3;4;1;3;1;3;5;4;1;1;3;1;4;5;4;1;2;3;1;3;4;4;1;2;4;2;5;5;3;4;3;4;5;5;5;5;5;2;5;4;2;5;5;1;4;5;2;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;4;3;3;3;3;3;5;3;3;3;5;1;3;3;5;4;3;3;2;3;3;4;3;3;5;3;3;3;3;3;4;3;3;3;5;5;5;5;5;3;2;3;5;3;4;4;5;1;4;1;4;5;3;3;2;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;;;;2;9;193;52;23;13;15;11;13;11;12;11;10;9;12;10;15;10;8;61;106;44;;;;;;;;;;;;;;;650;;2019-07-19 16:25:50;1;0;22;22;0;0;2,43;109
